ep,num,start,end,chara,script
1,1,"00:00:39,660","00:00:43,714",クイーンミラージュ,世界を…　不幸のもとへ!!
1,2,"00:00:43,714","00:00:48,736",クイーンミラージュ,愛・勇気…
1,2,"00:00:43,714","00:00:48,736",クイーンミラージュ,やさしさ・幸せ…
1,3,"00:00:48,736","00:00:51,722",クイーンミラージュ,すべては幻よ!!
1,4,"00:00:51,722","00:00:56,877",クイーンミラージュ,幻影帝国臣民よ！
1,4,"00:00:51,722","00:00:56,877",クイーンミラージュ,愚かなるプリキュアをたおし
1,5,"00:00:56,877","00:01:01,932",クイーンミラージュ,この世界の未来を
1,5,"00:00:56,877","00:01:01,932",クイーンミラージュ,最悪なものに　かえるのよ!!
1,6,"00:01:01,932","00:01:06,837",クイーンミラージュ,このクイーンミラージュの
1,6,"00:01:01,932","00:01:06,837",クイーンミラージュ,思いどおりの世界に!!
1,7,"00:01:06,837","00:01:11,842",,（一同　歓声）
1,8,"00:01:11,842","00:01:14,328",白雪ひめ,（キュアプリンセス）ニャーーー！
1,9,"00:01:14,328","00:01:17,931",白雪ひめ,エイ！
1,9,"00:01:14,328","00:01:17,931",サイアーク,サイアーク！
1,10,"00:01:17,931","00:01:22,231",白雪ひめ,アッ！　フッ！　ワッ！
1,10,"00:01:17,931","00:01:22,231",白雪ひめ,ウワーー！
1,11,"00:01:23,220","00:01:27,424",ナマケルダ,あいかわらず　にげ足だけは
1,11,"00:01:23,220","00:01:27,424",ナマケルダ,すばらしいですな
1,12,"00:01:27,424","00:01:30,544",りぼん,プリンセス　にげてばかりじゃ
1,12,"00:01:27,424","00:01:30,544",りぼん,ダメですわ
1,13,"00:01:30,544","00:01:34,565",りぼん,サイアークにされた人も
1,13,"00:01:30,544","00:01:34,565",りぼん,ナマケルダにかえられた世界も
1,14,"00:01:34,565","00:01:38,535",りぼん,もとに　もどせませんことよー！
1,15,"00:01:38,535","00:01:41,588",白雪ひめ,わ…　分かってるわよ！
1,16,"00:01:41,588","00:01:47,761",白雪ひめ,プリンセス　弾丸マシンガン！
1,17,"00:01:47,761","00:01:50,061",白雪ひめ,ハァーー！
1,18,"00:01:52,583","00:01:54,284",りぼん,やりましたわ！
1,19,"00:01:54,284","00:01:59,756",りぼん,全戦全敗のプリンセスが
1,19,"00:01:54,284","00:01:59,756",りぼん,ついに勝ちましたわ！
1,20,"00:01:59,756","00:02:02,926","りぼん,白雪ひめ",（リボン・プリンセス）えっ…
1,20,"00:01:59,756","00:02:02,926",サイアーク,サイアーク！
1,21,"00:02:02,926","00:02:07,247","白雪ひめ,りぼん",（プリンセス・リボン）ウワワ…
1,21,"00:02:02,926","00:02:07,247",白雪ひめ,ギャッ！
1,22,"00:02:07,247","00:02:09,547",ナマケルダ,トドメをさせ
1,23,"00:02:10,984","00:02:12,653",りぼん,ひめ！　ひめ！
1,24,"00:02:12,653","00:02:16,573",白雪ひめ,（白雪ひめ）ウワッ！
1,24,"00:02:12,653","00:02:16,573","白雪ひめ,りぼん",（ひめ・リボン）アアーーーー！
1,25,"00:02:16,573","00:02:18,573",りぼん,ひめーー！
1,26,"00:02:22,896","00:02:27,896",ぐらさん,なかなかナイスなキックだ
1,26,"00:02:22,896","00:02:27,896",白雪ひめ,キュアフォーチュン!?
1,27,"00:02:32,372","00:02:35,759",氷川いおな,（キュアフォ－チュン）ハァーーー！
1,27,"00:02:32,372","00:02:35,759",氷川いおな,タァーーー！
1,28,"00:02:35,759","00:02:40,197",サイアーク,サイアーク！
1,29,"00:02:40,197","00:02:46,097",氷川いおな,フォーチュン　スターバースト！
1,30,"00:02:48,071","00:02:50,991",ナマケルダ,何をしている　早く立て！
1,31,"00:02:50,991","00:02:54,591",ぐらさん,そろそろ決めるんだぜ
1,31,"00:02:50,991","00:02:54,591",氷川いおな,ＯＫ！　ぐらさん
1,32,"00:02:57,097","00:03:02,997",氷川いおな,星の光を聖なる力に
1,32,"00:02:57,097","00:03:02,997",氷川いおな,ラブプリブレス！
1,33,"00:03:04,238","00:03:12,162",氷川いおな,プリキュア
1,33,"00:03:04,238","00:03:12,162",氷川いおな,スターダスト　シュート！
1,34,"00:03:12,162","00:03:19,102",,♪♪～
1,35,"00:03:19,102","00:03:23,290",氷川いおな,星よ　天に帰れ！
1,36,"00:03:23,290","00:03:25,890",サイアーク,ゴクラーク！
1,37,"00:03:29,363","00:03:32,766",ナマケルダ,キュアフォーチュン
1,37,"00:03:29,363","00:03:32,766",ナマケルダ,次は　こうはいかないよ
1,38,"00:03:32,766","00:03:35,736",ナマケルダ,さらば！
1,39,"00:03:35,736","00:03:39,189",,（女性）助けてくれて　ありがとう
1,39,"00:03:35,736","00:03:39,189",,キュアフォーチュン
1,40,"00:03:39,189","00:03:42,559",氷川いおな,幻影帝国は
1,40,"00:03:39,189","00:03:42,559",氷川いおな,心のスキをついてくるわ
1,41,"00:03:42,559","00:03:47,798",ぐらさん,気をつけるんだぜ
1,41,"00:03:42,559","00:03:47,798",,はい　がんばります！
1,42,"00:03:47,798","00:03:49,483",ぐらさん,ウヌッ！
1,43,"00:03:49,483","00:03:53,537",ぐらさん,これは　かっこいい笛の
1,43,"00:03:49,483","00:03:53,537",ぐらさん,パワーを感じるぜ
1,44,"00:03:53,537","00:03:56,623",ぐらさん,ハッ　ハッ…
